Date,1 Yr,3 Yr,10 Yr,30 Yr
12/31/2012,0.16,0.36,1.78,2.95
12/28/2012,0.15,0.36,1.73,2.88
12/27/2012,0.15,0.37,1.74,2.89
12/26/2012,0.16,0.39,1.77,2.94
12/24/2012,0.16,0.38,1.79,2.94
12/21/2012,0.15,0.38,1.77,2.93
12/20/2012,0.15,0.39,1.81,2.98
12/19/2012,0.15,0.39,1.82,2.99
12/18/2012,0.16,0.39,1.84,3.0
12/17/2012,0.13,0.37,1.78,2.94
12/14/2012,0.13,0.34,1.72,2.87
12/13/2012,0.14,0.34,1.74,2.9
12/12/2012,0.14,0.32,1.72,2.9
12/11/2012,0.16,0.32,1.66,2.83
12/10/2012,0.18,0.33,1.63,2.8
12/07/2012,0.18,0.33,1.64,2.81
12/06/2012,0.18,0.32,1.59,2.76
12/05/2012,0.18,0.32,1.6,2.78
12/04/2012,0.18,0.34,1.62,2.78
12/03/2012,0.18,0.34,1.63,2.8
11/30/2012,0.18,0.34,1.62,2.81
11/29/2012,0.18,0.35,1.62,2.79
11/28/2012,0.18,0.35,1.63,2.79
11/27/2012,0.18,0.36,1.64,2.79
11/26/2012,0.17,0.36,1.66,2.8
11/23/2012,0.19,0.37,1.7,2.83
11/21/2012,0.17,0.37,1.69,2.83
11/20/2012,0.16,0.36,1.66,2.82
11/19/2012,0.16,0.33,1.61,2.76
11/16/2012,0.16,0.32,1.58,2.73
11/15/2012,0.17,0.32,1.58,2.72
11/14/2012,0.18,0.33,1.59,2.73
11/13/2012,0.18,0.33,1.59,2.72
11/09/2012,0.18,0.35,1.61,2.75
11/08/2012,0.2,0.35,1.62,2.77
11/07/2012,0.18,0.36,1.68,2.83
11/06/2012,0.19,0.41,1.78,2.92
11/05/2012,0.19,0.38,1.72,2.88
11/02/2012,0.19,0.38,1.75,2.91
11/01/2012,0.18,0.38,1.75,2.89
10/31/2012,0.18,0.38,1.72,2.85
10/29/2012,0.18,0.4,1.74,2.87
10/26/2012,0.19,0.41,1.78,2.92
10/25/2012,0.19,0.43,1.86,2.98
10/24/2012,0.18,0.4,1.8,2.93
10/23/2012,0.18,0.41,1.79,2.91
10/22/2012,0.19,0.42,1.83,2.95
10/19/2012,0.18,0.41,1.79,2.94
10/18/2012,0.18,0.41,1.86,3.02
10/17/2012,0.18,0.41,1.83,2.98
10/16/2012,0.18,0.36,1.75,2.91
10/15/2012,0.19,0.34,1.7,2.85
10/12/2012,0.18,0.34,1.69,2.83
10/11/2012,0.18,0.34,1.7,2.86
10/10/2012,0.18,0.35,1.72,2.89
10/09/2012,0.18,0.35,1.74,2.93
10/05/2012,0.18,0.34,1.75,2.96
10/04/2012,0.18,0.32,1.7,2.89
10/03/2012,0.16,0.31,1.64,2.82
10/02/2012,0.16,0.31,1.64,2.81
10/01/2012,0.17,0.31,1.64,2.81
09/28/2012,0.17,0.31,1.65,2.82
09/27/2012,0.16,0.34,1.66,2.83
09/26/2012,0.17,0.34,1.64,2.79
09/25/2012,0.18,0.35,1.7,2.86
09/24/2012,0.18,0.35,1.74,2.91
09/21/2012,0.18,0.36,1.77,2.95
09/20/2012,0.18,0.36,1.8,2.96
09/19/2012,0.18,0.35,1.79,2.97
09/18/2012,0.18,0.35,1.82,3.0
09/17/2012,0.18,0.36,1.85,3.03
09/14/2012,0.18,0.35,1.88,3.09
09/13/2012,0.17,0.32,1.75,2.95
09/12/2012,0.18,0.33,1.77,2.92
09/11/2012,0.18,0.33,1.7,2.84
09/10/2012,0.18,0.33,1.68,2.83
09/07/2012,0.18,0.33,1.67,2.81
09/06/2012,0.18,0.34,1.68,2.8
09/05/2012,0.17,0.32,1.6,2.7
09/04/2012,0.16,0.31,1.59,2.69
08/31/2012,0.16,0.3,1.57,2.68
08/30/2012,0.17,0.35,1.63,2.75
08/29/2012,0.18,0.36,1.66,2.77
08/28/2012,0.18,0.36,1.64,2.75
08/27/2012,0.18,0.37,1.65,2.76
08/24/2012,0.19,0.37,1.68,2.79
08/23/2012,0.19,0.36,1.68,2.79
08/22/2012,0.19,0.37,1.71,2.82
08/21/2012,0.2,0.42,1.8,2.9
08/20/2012,0.19,0.41,1.82,2.93
08/17/2012,0.2,0.42,1.81,2.93
08/16/2012,0.2,0.42,1.83,2.96
08/15/2012,0.19,0.42,1.8,2.9
08/14/2012,0.19,0.39,1.73,2.82
08/13/2012,0.19,0.36,1.65,2.74
08/10/2012,0.18,0.36,1.65,2.74
08/09/2012,0.2,0.38,1.69,2.78
08/08/2012,0.19,0.38,1.68,2.75
08/07/2012,0.19,0.37,1.66,2.72
08/06/2012,0.16,0.33,1.59,2.65
08/03/2012,0.16,0.33,1.6,2.65
08/02/2012,0.17,0.31,1.51,2.55
